X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-0.2895508	-0.07894462
0	0	0	0	0	0	-0.4241406	-0.1982617
0	0	0	0	0	0	-0.1389364	-0.2358602
0	0	0	0	0	0	-0.1109766	0.1180078
0	0	0	0	0	0	-0.07857572	-0.0240948
0	0	0	0	0	0	0.01226563	-0.1255469
0	0	0	0	0	0	-0.04707031	0.02552734
0	0	0	0	0	0	0.008463542	0.1169162
0	0	0	0	0	0	-0.00515625	-0.04613281
0	0	0	0	0	0	-0.02117188	-0.0746289
0	0	0	0	0	0	-0.003867188	0.06945313
0	0	0	0	0	0	0.00140625	0.001484375
0	0	0	0	0	0	-0.03824219	-0.06923828
0	0	0	0	0	0	0.001126803	0.01305213
0	0	0	0	0	0	-0.01085487	0.1599685
0	0	0	0	0	0	0.004564368	-0.09033203
0	0	0	0	0	0	-0.09367187	-0.1781055
0	0	0	0	0	0	-0.03931568	0.02685547
0	0	0	0	0	0	0.03637695	-0.0606486
0	0	0	0	0	0	-0.02185059	-0.1157227
0	0	0	0	0	0	0.0009765625	0.06418864
0	0	0	0	0	0	-0.04390625	0.03605469
0	0	0	0	0	0	0.06876273	-0.07460088
0	0	0	0	0	0	-0.02052816	0.03572591
0	0	0	0	0	0	-0.02925037	0.07672991
0	0	0	0	0	0	0.008322011	-0.04396654
0	0	0	0	0	0	-0.01201596	-0.04231063
0	0	0	0	0	0	0.0005548651	0.0287864
0	0	0	0	0	0	-0.001796875	0.05285156
0	0	0	0	0	0	0.02223714	-0.04673259
0	0	0	0	0	0	0.0003051758	0.02323405
0	0	0	0	0	0	-0.01137288	0.04823812
0	0	0	0	0	0	0.02231233	-0.1421535
0	0	0	0	0	0	-0.007168856	-0.05588601
0	0	0	0	0	0	0.1238477	0.1675977
0	0	0	0	0	0	0.0655783	-0.3087211
0	0	0	0	0	0	-0.3497266	-1.240762
0	0	0	0	0	0	-0.0575728	-0.1343661
0	0	0	0	0	0	-0.1610814	0.9566715
0	0	0	0	0	0	0.06997958	0.2139116
0	0	0	0	0	0	0.1170321	-0.3800604
0	0	0	0	0	0	0.02482525	0.4308697
0	0	0	0	0	0	0.1497396	0.7316487
0	0	0	0	0	0	-0.139085	-0.9269269
0	0	0	0	0	0	-0.04503455	-0.4492375
0	0	0	0	0	0	-0.02699498	0.5684989
0	0	0	0	0	0	0.0598273	0.3145559
0	0	0	0	0	0	-0.04751189	-0.5972104
0	0	0	0	0	0	-0.004255022	0.07689267
0	0	0	0	0	0	0.03903925	0.4781901
0	0	0	0	0	0	0.1013927	-0.1321968
0	0	0	0	0	0	0.8928223	0.3040568
0	0	0	0	0	0	0.6403365	0.2028809
0	0	0	0	0	0	-0.4017944	-0.1807658
0	0	0	0	0	0	0.0926232	0.04118465
0	0	0	0	0	0	0.1287638	0.3097534
0	0	0	0	0	0	0.2884318	0.09820557
0	0	0	0	0	0	0.07718461	-0.2004485
0	0	0	0	0	0	-0.3953906	-0.2491992
0	0	0	0	0	0	-0.410952	-0.2241573
0	0	0	0	0	0	-0.2686719	-0.149668
0	0	0	0	0	0	-0.1140747	0.03662109
0	0	0	0	0	0	-0.06776937	0.05544027
0	0	0	0	0	0	0.004050926	-0.09932002
0	0	0	0	0	0	0.01265625	0.02478516
