X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-0.02203776	-0.04580078
0	0	0	0	0	0	-0.02203776	-0.04580078
0	0	0	0	0	0	0.03838901	-0.01953125
0	0	0	0	0	0	0.03838901	-0.01953125
0	0	0	0	0	0	0.2802409	0.1357096
0	0	0	0	0	0	0.2802409	0.1357096
0	0	0	0	0	0	0.4007812	0.1156413
0	0	0	0	0	0	0.4007812	0.1156413
0	0	0	0	0	0	0.4007812	0.1156413
0	0	0	0	0	0	0.4007812	0.1156413
0	0	0	0	0	0	0.05688477	-0.0009440104
0	0	0	0	0	0	0.05688477	-0.0009440104
0	0	0	0	0	0	0.05688477	-0.0009440104
0	0	0	0	0	0	-0.02521159	-0.03095703
0	0	0	0	0	0	-0.02521159	-0.03095703
0	0	0	0	0	0	0.2181571	-0.1728516
0	0	0	0	0	0	0.2181571	-0.1728516
0	0	0	0	0	0	0.2181571	-0.1728516
0	0	0	0	0	0	-0.02396066	-0.06652832
0	0	0	0	0	0	-0.02396066	-0.06652832
0	0	0	0	0	0	0.2112142	0.0999349
0	0	0	0	0	0	0.2112142	0.0999349
0	0	0	0	0	0	0.2112142	0.0999349
0	0	0	0	0	0	0.3275844	0.1049282
0	0	0	0	0	0	0.3275844	0.1049282
0	0	0	0	0	0	0.3275844	0.1049282
0	0	0	0	0	0	0.001985677	0.07750651
0	0	0	0	0	0	0.001985677	0.07750651
0	0	0	0	0	0	0.1601563	0.01796875
0	0	0	0	0	0	0.1601563	0.01796875
0	0	0	0	0	0	0.1601563	0.01796875
0	0	0	0	0	0	0.4969401	-0.1651774
0	0	0	0	0	0	0.4969401	-0.1651774
0	0	0	0	0	0	0.2258464	-0.2845134
0	0	0	0	0	0	0.2258464	-0.2845134
0	0	0	0	0	0	0.2258464	-0.2845134
0	0	0	0	0	0	0.1533529	0.06061198
0	0	0	0	0	0	0.1533529	0.06061198
0	0	0	0	0	0	0.1533529	0.06061198
0	0	0	0	0	0	0.3527411	0.130792
0	0	0	0	0	0	0.3527411	0.130792
0	0	0	0	0	0	0.3527411	0.130792
0	0	0	0	0	0	0.2556641	0.1451823
0	0	0	0	0	0	0.2556641	0.1451823
