X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-0.2530518	0.131543
0	0	0	0	0	0	-0.3450056	-0.1597377
0	0	0	0	0	0	-0.112979	-0.10891
0	0	0	0	0	0	-0.1234886	0.09230841
0	0	0	0	0	0	-0.006591797	-0.02896396
0	0	0	0	0	0	-0.02521973	-0.124585
0	0	0	0	0	0	0.001139323	0.006649925
0	0	0	0	0	0	-0.01037016	0.05731492
0	0	0	0	0	0	-0.002514648	-0.09477539
0	0	0	0	0	0	-0.000390625	-0.05183106
0	0	0	0	0	0	-0.02475586	0.07819824
0	0	0	0	0	0	0.01713423	-0.08868963
0	0	0	0	0	0	0.01040039	0.001049805
0	0	0	0	0	0	-0.002906436	0.02518136
0	0	0	0	0	0	0.03916015	-0.01433105
0	0	0	0	0	0	0.0104852	-0.03775185
0	0	0	0	0	0	0.02012233	-0.05368524
0	0	0	0	0	0	0.02478027	-0.04489746
0	0	0	0	0	0	-0.005786133	-0.1211426
0	0	0	0	0	0	0.02556152	-0.04145508
0	0	0	0	0	0	-0.02568359	-0.1863281
0	0	0	0	0	0	0.01632254	-0.1736886
0	0	0	0	0	0	0.008275082	0.02575041
0	0	0	0	0	0	0.0194615	-0.001302083
0	0	0	0	0	0	-0.001976376	-0.1524368
0	0	0	0	0	0	-0.02375488	0.01169434
0	0	0	0	0	0	0.04702149	0.06757812
0	0	0	0	0	0	-0.0333252	-0.08620606
0	0	0	0	0	0	0.011649	-0.02132162
0	0	0	0	0	0	-0.008161272	-0.06291853
0	0	0	0	0	0	0.1060084	-0.1262593
0	0	0	0	0	0	-0.02318173	-0.3427037
0	0	0	0	0	0	-0.04785156	-0.7521728
0	0	0	0	0	0	-0.1169922	-1.209839
0	0	0	0	0	0	-0.333419	-2.786673
0	0	0	0	0	0	-0.629106	-4.98817
0	0	0	0	0	0	-0.6015625	-6.346077
0	0	0	0	0	0	-0.8848307	-7.351497
0	0	0	0	0	0	-0.6654769	-7.849626
0	0	0	0	0	0	-0.3775593	-8.234173
0	0	0	0	0	0	-0.7362109	-8.581191
0	0	0	0	0	0	-3.360727	-9.13854
0	0	0	0	0	0	-0.5063672	-9.731641
0	0	0	0	0	0	-0.6646321	-8.531372
0	0	0	0	0	0	-1.089738	-7.036515
0	0	0	0	0	0	-0.5345459	-5.977722
0	0	0	0	0	0	-0.4533935	-5.148206
0	0	0	0	0	0	-0.299779	-5.08072
0	0	0	0	0	0	-0.0102074	-2.898321
0	0	0	0	0	0	0.6939872	3.62064
0	0	0	0	0	0	0.452474	10.94908
0	0	0	0	0	0	-0.03113281	14.76691
0	0	0	0	0	0	1.970775	14.98966
0	0	0	0	0	0	1.221343	15.14936
0	0	0	0	0	0	0.332194	12.80147
0	0	0	0	0	0	0.3763997	5.280111
0	0	0	0	0	0	-0.1141881	0.01951381
0	0	0	0	0	0	0.3148437	0.7140039
0	0	0	0	0	0	-0.3697656	3.246055
0	0	0	0	0	0	-0.3282878	2.500456
0	0	0	0	0	0	-0.02532087	-0.2798375
0	0	0	0	0	0	-0.2377293	-1.108717
0	0	0	0	0	0	0.3343877	0.2452021
0	0	0	0	0	0	0.1313011	1.137905
0	0	0	0	0	0	-0.008864183	0.07536434
0	0	0	0	0	0	-0.005097656	-0.7645898
0	0	0	0	0	0	0.4652506	-0.4493408
0	0	0	0	0	0	-0.266875	-0.2845117
0	0	0	0	0	0	-0.02197266	0.07612941
0	0	0	0	0	0	3.917183	-0.2861753
0	0	0	0	0	0	4.93679	-1.442294
0	0	0	0	0	0	8.115304	-3.221029
0	0	0	0	0	0	13.65943	-1.429751
0	0	0	0	0	0	16.00633	2.515523
0	0	0	0	0	0	16.13351	2.97533
0	0	0	0	0	0	15.66001	1.180855
0	0	0	0	0	0	13.95024	0.140067
0	0	0	0	0	0	13.4787	0.0867513
0	0	0	0	0	0	12.48958	0.3732232
0	0	0	0	0	0	12.27139	1.029077
0	0	0	0	0	0	11.40751	1.220934
0	0	0	0	0	0	10.23568	1.915039
0	0	0	0	0	0	7.852322	3.256537
0	0	0	0	0	0	2.641088	3.284488
0	0	0	0	0	0	-1.346767	0.5122768
0	0	0	0	0	0	-2.826221	-4.659155
0	0	0	0	0	0	-4.992543	-5.7322
0	0	0	0	0	0	-7.810458	-3.710316
0	0	0	0	0	0	-11.76086	-0.3132324
0	0	0	0	0	0	-15.93547	1.45332
0	0	0	0	0	0	-18.77285	0.1199463
0	0	0	0	0	0	-22.26429	-1.124851
0	0	0	0	0	0	-23.65751	-1.984619
0	0	0	0	0	0	-24.91705	-0.7209961
0	0	0	0	0	0	-4.521729	-1.0165
0	0	0	0	0	0	-24.29201	-0.461238
0	0	0	0	0	0	-18.7769	-1.368591
0	0	0	0	0	0	-6.160089	0.2764116
0	0	0	0	0	0	3.50315	1.536572
0	0	0	0	0	0	7.439093	1.573808
0	0	0	0	0	0	11.69219	-2.200467
0	0	0	0	0	0	18.06048	-2.606135
0	0	0	0	0	0	21.42745	-0.6054077
0	0	0	0	0	0	22.87179	1.74091
0	0	0	0	0	0	21.15787	2.139918
0	0	0	0	0	0	19.70177	1.525391
0	0	0	0	0	0	18.0835	0.09033203
0	0	0	0	0	0	16.81618	0.1234838
0	0	0	0	0	0	15.824	1.456765
0	0	0	0	0	0	14.00378	1.94707
0	0	0	0	0	0	8.046906	1.720139
0	0	0	0	0	0	-0.8911743	0.3735962
0	0	0	0	0	0	-4.330957	-2.102808
0	0	0	0	0	0	-5.771484	-1.56748
0	0	0	0	0	0	-7.157932	0.7627224
0	0	0	0	0	0	-11.62181	1.568158
0	0	0	0	0	0	-14.38498	-0.3381212
0	0	0	0	0	0	-15.86779	-1.734747
0	0	0	0	0	0	-17.04657	-0.9854329
0	0	0	0	0	0	-17.20408	-0.9211133
